label,description
ZF,"ZF is a global technology company supplying systems for passenger cars, commercial vehicles and industrial technology, enabling the next generation of mobility. ZF allows vehicles to see, think and act. In the four technology domains of Vehicle Motion Control, Integrated Safety, Automated Driving, and Electric Mobility, ZF offers comprehensive product and software solutions for established vehicle manufacturers. With some 165,000 employees worldwide, ZF reported sales of €43.8 billion in fiscal 2022. The company operates 168 production locations in 32 countries."
Saarstahl,"The locations of Saarstahl AG not only have a long tradition but have also contributed to the shaping of the creation of history in the region. The Neunkirchen plant was mentioned as early as 1593. This makes it Saarstahl AG's location with the richest in tradition and, at the same time, it is even the oldest steelmaking location in Germany that is still active today. Burbach and Völklingen are both younger, having been founded in 1856 and 1873 as part of the increasing industrialisation of Germany. Each of the three steelworks then rapidly developed and, during the 20th century, they rose to become renowned large-scale enterprises with several thousand employees. In the 1970s, it started to make sense to combine forces. The current locations merged to a company that has had the name Saarstahl AG since 1989 and has made a name for itself as a global manufacturer of long products."
Dillinger,"The Dillinger Group is made up of a series of top-ranking companies which together provide maximum quality and best possible service in the field of heavy plate. This applies both to the work of our integrated iron-and-steel plant, to the production of coke and smelting of iron by Zentralkokerei Saar GmbH and ROGESA Roheisengesellschaft Saar mbH, two subsidiaries owned jointly with Saarstahl AG, and to the production of liquid steel and semi-fabricates. Heavy plate is produced at two locations, Dillinger Hütte, in Dillingen, and Dillinger France, in Dunkirk. In addition, our trading, flame-cutting and semi-fabrication affiliates provide further downstream services and customised solutions for sales, plus semi-fabrication of heavy plates and other steel products. The 2014 business year also witnessed the inauguration of Steelwind Nordenham GmbH, a 100% Dillinger subsidiary, specialising in the production of monopiles for the offshore wind-energy market. EUROPIPE GmbH, the world's leading producer of pipes for oil and natural gas pipelines, with locations in Germany and the USA, was founded in Mülheim an der Ruhr as a 50% subsidiary of Dillinger specifically for the production of pipes from pipe-making plates in 1991."
Bosch,"As lead plant and center of competence, the Robert Bosch GmbH Homburg Plant produces modern Common Rail System components for passenger cars and commercial vehicles. Furthermore, due to the transformation towards electric mobility, competence is successively being developed in hydrogen technology. Numerous components for mobile fuel cells, that deliver the energy for e-motors, are already being produced in series production, as well as components for hydrogen storage systems. Additionally, a subassembly for the stationary fuel cell also is included in the Homburg portfolio, start of series production for the SOFC (small interconnectable power stations that generate electricity and heat) will be in 2025. The Bosch Rexroth AG plant produces hydraulic control systems including the associated electronic units for use in mobile and industrial applications. In Homburg, the Moehwald GmbH, a company of Bosch Manufacturing Solution, produces testing technology for fuel cells, electrolyzers, diesel and gasoline injection systems and hydraulic components."
Festo,"Opened in 1968, the site is now home to one of Festo's largest production and logistics centers with around 2,800 employees on an area the size of 13 soccer fields. Electric and pneumatic drives as well as cylinders are manufactured here for our customers in Central Europe. With a perfectly coordinated logistics system, they also ensure that over 75 percent of orders are delivered within 24 hours. The St. Ingbert site is also home to the Festo Saar Learning Center and Festo Polymer GmbH in Hassel."
Ford,"With around 4,900 employees, the Ford plant in Saarlouis is considered the largest employer in the Saarland. In addition, there are 1,300 jobs at the company's suppliers. A total of 12 suppliers are located in Saarlouis directly in the industrial park or in the vicinity."
Schaeffler,"The Schaeffler Group is a global automotive and industrial supplier. The Schaeffler Group is making a decisive contribution to mobility with its high-precision components and systems in engine, transmission, and chassis applications, in addition to rolling and plain bearing solutions for a large number of industrial applications. Since its beginnings, the Schaeffler company has been characterized by groundbreaking innovations and global customer orientation."
Fresenius,"Research, development and production - this combination is our recipe for success: We are one of the leading international companies in medical technology. Sustainable investments enable our highly qualified specialists, engineers, scientists and technicians to drive developments and work in a forward-looking manner. The production technologies developed in St. Wendel are passed on to subsidiaries and partners worldwide. Thus, with about 2,000 employees, the plant is one of the most important technology centers of the entire Fresenius Group. The manufacture of medical products, such as artificial kidneys and medical plastic disposables for renal replacement therapy, begins in St. Wendel with research. Innovative ideas, new approaches and findings flow directly into the development of the high-quality and sometimes groundbreaking products as well as into adequate production technologies."
Wagner,"We love pizza! Do you too? Then you've come to the right place in Nonnweiler, Saarland, in the heart of the beautiful Hunsrück-Hochwald National Park. Centrally located - between Trier, Saarbrücken, Metz and Luxembourg - we bring the whole of Europe to the taste. To our original WAGNER taste. With real passion, respect for each other and a good portion of innovative spirit we get everything baked together. Once WAGNER - always WAGNER. We - a team of around 1,800 colleagues - produce around 350 million frozen products a year according to a long-standing baking tradition. Whether Original Wagner Stone Oven, Original Piccolinis, Pizzies, Flammkuchen, Big City Pizza, Die Backfrische or Bella Napoli, we have something for every taste."
Villery&Boch,"The Old Abbey in Mettlach has been the headquarters of Villeroy & Boch for more than 200 years. Jean-François Boch bought the former Benedictine monastery in 1809 and restored the building, which had been badly damaged by the First Coalition War from 1792. The town of Mettlach and the company have enjoyed a close relationship ever since. As the company's success grew, so did the need for manufacturing facilities, which led to dense construction on the site. The redevelopment of the company headquarters is a significant part of Mettlach 2,0, a site development program of the municipality of Mettlach and Villeroy & Boch. The aim of the program is to modernize the townscape, make Mettlach more attractive as a destination for shopping and industrial culture tourists, and create modern working environments for Villeroy & Boch employees. In this context, buildings on the site of the Old Abbey are being modernized, old factory buildings are being dismantled in favor of more open space, the outdoor facilities are being redesigned, and the historic character of the abbey is being better emphasized."
